cleaned_complaints,complaints_description_length,new_communication_channel,new_complaint_category,new_complaint_date,new_complaint_description,new_complaint_id,new_complaint_priority,new_complaint_product_type,new_complaint_status,new_customer_country,new_customer_id,new_customer_name,new_department_assigend
lipstick arrived damaged packaging disappointed,66,Mobile App,packaging,2025-04-23,The Lipstick arrived with damaged packaging and I am disappointed.,2,1,Lipstick,resolved,Ghana,1002,Customer_2,Packaging Department
body lotion arrived damaged packaging disappointed,69,Email,packaging,2025-08-24,the body lotion arrived with damaged packaging and i am disappointed.,4,4,Body Lotion,awaiting,Algeria,1004,Customer_4,Packaging Department
body lotion arrived damaged packaging disappointed,69,Website,packaging,2025-10-23,the body lotion arrived with damaged packaging and i am disappointed.,5,4,Body Lotion,in_progress,Algeria,1005,Customer_5,Packaging Department
kohl arrived damaged packaging disappointed,62,Phone Call,packaging,2025-03-27,The Kohl arrived with damaged packaging and I am disappointed.,26,5,Kohl,resolved,Algeria,1026,Customer_26,Packaging Department
foundation arrived damaged packaging disappointed please help,83,Email,packaging,2025-10-19,the foundation arrived with damaged packaging and i am disappointed. please help!!!,30,5,Foundation,in_progress,Kenya,1030,Customer_30,Packaging Department
primer arrived damaged packaging disappointed,64,Website,packaging,2025-03-09,The Primer arrived with damaged packaging and I am disappointed.,33,1,Primer,resolved,Ghana,1033,Customer_33,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Phone Call,packaging,2025-05-17,The Eyeshadow arrived with damaged packaging and I am disappointed.,42,4,Eyeshadow,in_progress,Tunisia,1042,Customer_42,Packaging Department
lipstick arrived damaged packaging disappointed,66,Mobile App,packaging,2025-01-26,The Lipstick arrived with damaged packaging and I am disappointed.,56,4,Lipstick,awaiting,Tunisia,1056,Customer_56,Packaging Department
blush arrived damaged packaging disappointed,63,Website,packaging,2025-06-22,The Blush arrived with damaged packaging and I am disappointed.,66,3,Blush,resolved,Kenya,1066,Customer_66,Packaging Department
kohl arrived damaged packaging disappointed,62,Email,packaging,2025-05-08,The Kohl arrived with damaged packaging and I am disappointed.,86,4,Kohl,in_progress,Morocco,1086,Customer_86,Packaging Department
eyeliner arrived damaged packaging disappointed,66,Phone Call,packaging,2025-12-30,The Eyeliner arrived with damaged packaging and I am disappointed.,101,2,Eyeliner,in_progress,Tunisia,1101,Customer_101,Packaging Department
